IncidentNum,ReportedDateTime,ReportedYear,ReportedMonth,Location,WeaponUsed,ALD,NSP,POLICE,TRACT,WARD,ZIP,Arson,AssaultOffense,Burglary,CriminalDamage,Homicide,LockedVehicle,Robbery,SexOffense,Theft,VehicleTheft,final_x,final_y,fuzzy_TAXKEY
C2601010031,2026-01-01T00:01:00Z,2026,1,235 N 37TH ST,PERSONAL WEAPON,10,14,3,13300,209,53208,0,1,0,0,0,0,0,0,0,0,2545276.60004816,383334.480485563,4020562000
C2601010057,2026-01-01T06:15:00Z,2026,1,3937 N 20TH ST,PERSONAL WEAPON,6,4,5,4700,104,53206,0,1,0,0,0,0,0,0,0,0,2550944.38881918,403594.303661497,2701706000
C2601010086,2026-01-01T08:20:00Z,2026,1,2468 N 34TH ST,PERSONAL WEAPON,15,8,3,9800,148,53210,0,1,0,0,0,0,0,0,0,0,2546205.38583126,394465.674798239,3261559000
C2601010097,2026-01-01T12:00:00Z,2026,1,5936 N SHERMAN BL,LETHAL CUTTING INSTRUMENT,1,2,4,1100,23,53209,0,1,0,0,0,0,0,0,0,0,2543179.06301306,417048.403655352,1719797110
C2601010108,2026-01-01T06:00:00Z,2026,1,1622 W LINCOLN AV,NA,12,17,2,17400,247,53215,0,0,0,0,0,0,0,0,0,1,2552574.61749885,372466.313055048,4691830000
C2601010110,2026-01-01T10:45:00Z,2026,1,1611 W CANAL ST,PERSONAL WEAPON,8,NA,3,186800,222,53233,0,1,0,0,0,0,0,0,0,0,2552417.70077895,382571.051927036,4260111000
C2601010115,2026-01-01T13:00:00Z,2026,1,4045 N 23RD ST,PERSONAL WEAPON,1,4,5,4200,57,53209,0,1,0,0,0,0,0,0,0,0,2549915.2612108,404331.717641157,2450810000
C2601010173,2026-01-01T17:30:00Z,2026,1,2345 N 16TH ST,PERSONAL WEAPON,15,10,3,185500,144,53206,0,1,0,0,0,0,0,0,0,0,2552372.87676366,393683.252525705,3240656100
C2601010179,2026-01-01T17:30:00Z,2026,1,10202 W SILVER SPRING DR,NA,2,19,4,502,31,53225,0,0,0,0,0,0,0,0,0,1,2523326.43352786,414781.331173423,1790153000
C2601020002,2026-01-01T22:20:00Z,2026,1,5816 W GREEN TREE RD,PERSONAL WEAPON,9,NA,4,800,13,53223,0,1,0,0,0,0,0,0,0,0,2537774.58837251,422569.805042559,1210009110
C2601020005,2026-01-02T00:35:00Z,2026,1,5956 N 75TH ST,FIREARM,2,2,4,1300,26,53218,0,1,0,0,0,0,0,0,0,0,2532754.69207949,416863.047341202,1750254000
C2601020010,2026-01-02T02:05:00Z,2026,1,4526 W EGGERT PL,PERSONAL WEAPON,1,2,7,2800,48,53218,0,1,0,0,0,0,0,0,0,0,2542077.69859112,411584.835519518,2090407000
C2601020020,2026-01-02T04:30:00Z,2026,1,5672 N 40TH ST,PERSONAL WEAPON,1,NA,4,1000,22,53209,0,1,0,1,0,0,0,0,0,0,2544120.6323608,415135.303651632,1710517000
C2601020062,2026-01-01T21:00:00Z,2026,1,1547 N 8TH ST,NA,6,13,5,14100,172,53205,0,0,0,0,0,0,0,0,0,1,2555701.39694484,389498.119168099,3620411100
C2601020076,2026-01-02T14:40:00Z,2026,1,108 E CONCORDIA AV,HANDGUN,6,6,5,6900,116,53212,0,1,0,1,0,0,0,0,0,0,2558237.0984375,400130.25,2820321000
C2601020078,2026-01-02T13:30:00Z,2026,1,1812 W HIGHLAND AV,NA,4,12,3,14700,188,53233,0,0,0,0,0,0,0,0,0,1,2551558.58659064,387733.921634514,3901291000
C2601020084,2026-01-02T12:04:00Z,2026,1,923 E GARFIELD AV,NA,6,7,5,10700,135,53212,0,0,0,0,0,0,0,0,0,1,2561318.42238017,392947.890990351,3540543000
C2601020099,2026-01-02T17:00:00Z,2026,1,9632 W APPLETON AV,NA,2,19,4,502,37,53225,0,0,0,0,0,0,0,0,0,1,2525497.24571096,413564.885982746,1850248110
C2601020102,2026-01-02T17:20:00Z,2026,1,4524 N 40TH ST,PERSONAL WEAPON,7,1,7,2600,61,53209,0,1,0,0,0,0,0,0,0,0,2544165.44076469,407380.879041348,2291520000
C2601020118,2026-01-02T19:40:00Z,2026,1,3401 N 24TH ST,PERSONAL WEAPON,6,4,5,6500,105,53206,0,1,0,0,0,0,0,0,0,0,2549642.2334847,400891.376035576,2851812000
C2601020132,2026-01-02T20:38:00Z,2026,1,2537 N 33RD ST,FIREARM,15,8,3,8900,148,53210,0,0,0,1,0,0,0,0,0,0,2546316.42906282,394908.093546118,3260311100
C2601030017,2026-01-02T19:30:00Z,2026,1,239 E CHAMBERS ST,NA,6,6,5,7000,118,53212,0,0,0,0,0,0,0,0,0,1,2558880.81438696,397986.877027945,3130555000
C2601030028,2026-01-02T17:00:00Z,2026,1,2817 N 36TH ST,NA,15,5,7,6200,149,53210,0,0,0,0,0,0,0,0,0,1,2545368.89893448,396703.337354441,3080888000
C2601030030,2026-01-02T20:00:00Z,2026,1,2556 N 21ST ST,LETHAL CUTTING INSTRUMENT,15,9,3,8700,144,53206,0,1,0,0,0,0,0,0,0,0,2550891.59746691,395108.130197773,3250821000
C2601030031,2026-01-03T09:00:00Z,2026,1,2521 S 34TH ST,OTHER,8,NA,2,18900,249,53215,0,1,0,0,0,0,0,0,0,0,2546485.8416968,370759.778402653,4940633000
